,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
118,30,0.002309740920267074,0.9994290471076965,0.9994309544563293,0.005453150064865646,0.9979373216629028,0.9979212284088135,relu,60,0.1,30,22,uniform,softmax,categorical_crossentropy,Nadam
119,20,0.0009409035418945502,0.9987764954566956,0.9986559748649597,0.00132515736456569,0.9980072975158691,0.9978150129318237,elu,30,0.0,20,34,normal,sigmoid,mean_squared_error,Nadam
120,10,0.0032523864126576566,0.9938009977340698,0.9938849806785583,0.003938478745712832,0.9931128621101379,0.9931163787841797,elu,30,0.1,10,34,normal,softmax,mean_squared_error,adadelta
121,50,0.00046283177508050377,0.9995105862617493,0.99951171875,0.0008373237752046063,0.998531699180603,0.998552680015564,relu,128,0.2,50,34,normal,sigmoid,mean_squared_error,Nadam
122,60,0.00011322338402231129,1.0,1.0,0.0002850567119851805,0.9996504187583923,0.9996512532234192,relu,128,0.1,60,40,uniform,softmax,mean_squared_error,Nadam
123,30,0.007693485317040941,0.9972267746925354,0.9972290992736816,0.01121153883447411,0.9962242841720581,0.9962441921234131,elu,30,0.1,30,16,normal,softmax,categorical_crossentropy,Adam
124,50,0.011781664887137024,0.9958401322364807,0.8948867917060852,0.026317761183595058,0.9918543100357056,0.858730137348175,relu,30,0.2,50,10,uniform,sigmoid,categorical_crossentropy,Adam
125,50,0.007988008579655533,0.9970636367797852,0.997047483921051,0.011669720455482806,0.9962592720985413,0.996250331401825,elu,128,0.1,50,28,uniform,softmax,categorical_crossentropy,adadelta
126,20,0.0036845292484305714,0.9929853081703186,0.9931178689002991,0.004189850514515799,0.9928331971168518,0.9927390217781067,relu,128,0.1,20,34,normal,sigmoid,mean_squared_error,Adam
127,40,0.0030462695680835185,0.9989396333694458,0.9989405870437622,0.0033658221806187904,0.9988812804222107,0.9988820552825928,relu,30,0.0,40,40,uniform,softmax,categorical_crossentropy,adadelta
128,20,0.022197814140511377,0.9924958944320679,0.9925535321235657,0.023101467929114713,0.9928681254386902,0.9929538369178772,elu,128,0.0,20,16,normal,softmax,categorical_crossentropy,Adam
129,30,0.0028388389368005232,0.9947797656059265,0.9947448372840881,0.003136770572883735,0.9946860671043396,0.9947496652603149,elu,128,0.0,30,22,normal,softmax,mean_squared_error,Adam
130,60,0.0009703695737512379,0.9985318183898926,0.9986172318458557,0.001700740972024985,0.9973430037498474,0.997378945350647,relu,60,0.2,60,34,uniform,softmax,mean_squared_error,adadelta
131,30,0.013511418314758144,0.9940456748008728,0.8197677135467529,0.017605558661219226,0.9935673475265503,0.7996003031730652,elu,60,0.1,30,16,normal,sigmoid,categorical_crossentropy,adadelta
132,20,0.00505638231263537,0.990212082862854,0.9903847575187683,0.005750716715031218,0.9898615479469299,0.9897918105125427,relu,128,0.1,20,22,uniform,sigmoid,mean_squared_error,adadelta
133,50,0.002417663550564127,0.99535071849823,0.9953547120094299,0.0020839378306630493,0.9961893558502197,0.9961732029914856,elu,30,0.2,50,16,normal,softmax,mean_squared_error,Nadam
134,60,0.0021495589626351163,0.9961664080619812,0.9962095618247986,0.002713325112622138,0.9953503012657166,0.9954037666320801,elu,30,0.2,60,16,normal,softmax,mean_squared_error,adadelta
135,50,0.00011961503426140552,0.9999184608459473,0.9998770952224731,0.0003923563971482738,0.9993007779121399,0.9993184804916382,relu,30,0.1,50,28,normal,softmax,mean_squared_error,Adam
136,50,0.001303584188831877,0.9981240034103394,0.9981254935264587,0.0018175471108723053,0.9968535900115967,0.9968878030776978,elu,30,0.1,50,28,normal,softmax,mean_squared_error,adadelta
137,60,0.0018091888714047743,0.9996737241744995,0.9996740818023682,0.002303851580617173,0.9993706941604614,0.9993711113929749,relu,30,0.0,60,28,normal,softmax,categorical_crossentropy,adadelta
138,20,0.0015240202100735836,0.9977977275848389,0.9973989129066467,0.0025023013558337945,0.9960145354270935,0.9954150915145874,elu,60,0.1,20,40,uniform,sigmoid,mean_squared_error,Nadam
139,30,0.0030723119242000445,0.9938009977340698,0.9937992095947266,0.003814726416447572,0.9929380416870117,0.9930568933486938,relu,30,0.1,30,10,uniform,sigmoid,mean_squared_error,Adam
